churn,k = 5,k = 10,k = 15,k = 20,k = 25,k = 30
0%,74,104,135,170,202,235
2%,73,104,136,176,209,238
4%,74,106,142,176,215,246
6%,75,112,144,184,215,253
8%,76,111,142,184,229,259
10%,78,113,146,191,223,264
12%,79,120,159,195,233,278
14%,79,119,156,194,235,278
16%,82,125,161,205,249,283
18%,84,123,158,202,236,275
20%,83,121,164,199,247,297
