churn,k = 5,k = 10,k = 15,k = 20,k = 25,k = 30
0%,61,93,112,140,180,200
2%,63,93,115,145,180,200
4%,63,99,116,150,180,228
6%,66,95,117,148,201,242
8%,66,95,120,156,191,241
10%,64,104,116,157,211,225
12%,65,103,120,155,208,264
14%,65,108,122,159,219,248
16%,63,113,137,164,222,282
18%,71,108,140,167,215,254
20%,70,104,143,184,208,275
