churn,k = 5,k = 10,k = 15,k = 20,k = 25,k = 30
0%,80,110,140,172,210,248
2%,81,112,145,177,216,261
4%,83,114,146,178,217,263
6%,83,117,148,182,226,266
8%,84,120,148,186,226,277
10%,86,121,160,185,234,283
12%,86,119,160,200,240,282
14%,87,125,158,200,240,292
16%,87,124,169,215,243,295
18%,88,128,166,204,250,297
20%,90,134,166,217,256,313
