churn,α = 2,α = 4,α = 6,α = 8,α = 10
0%,227,100,80,60,50
2%,229,101,80,60,49
4%,234,105,81,60,51
6%,247,114,84,64,52
8%,255,116,89,65,60
10%,254,109,88,62,60
12%,260,113,94,72,57
14%,273,123,91,68,56
16%,283,125,97,75,64
18%,266,120,90,76,63
20%,278,138,105,76,69
