churn,α = 2,α = 4,α = 6,α = 8,α = 10
0%,248,129,86,73,59
2%,255,130,92,75,62
4%,255,135,94,77,61
6%,262,138,94,81,67
8%,264,147,98,82,69
10%,268,148,97,85,69
12%,279,147,108,87,69
14%,276,155,104,90,76
16%,287,155,106,89,73
18%,299,158,107,90,77
20%,294,166,107,90,78
